ID_TRANSMISION,FECHA,NOMBRE_COMPLETO,IDIOMA,PATROCINADO,RANGO,MODOS_JUEGOS,GENEROS_JUEGOS,CATEGORIAS_JUEGOS,JUEGOS,TIEMPO_TRANSMISION,ESPECTADORES_PROMEDIO,TIEMPO_VISTA,VISTAS_GANADAS,SEGUIDORES
ID_TRANS_000088,2022-09-12,TooseFN,Russian,Con Patrocinador,Experto,Multijugador en Línea,Acción,Battle Royale,Fortnite,35580,1477,52797375,3692531,207882
ID_TRANS_000093,2022-09-12,NorkDorf,English,Sin Patrocinador,Novato,Multijugador en Línea,Acción,Disparos/FPS,Battlefield V,70860,209,15523920,121887,30450
ID_TRANS_000108,2022-09-13,AladdinTV,German,Con Patrocinador,Avanzado,"Un jugador, Multijugador en Línea",Aventura,Aventura/Sandbox,Grand Theft Auto V,136425,1346,186850290,4196779,111256
ID_TRANS_000107,2022-09-13,DioudLoL,Portuguese,Con Patrocinador,Experto,Multijugador en Línea,Estrategia,MOBA,League of Legends,29040,326,10037025,350517,167382
ID_TRANS_000106,2022-09-13,수련수련 (sooflower),Korean,Con Patrocinador,Experto,Transmisión en Vivo,Variado,Variado,Just Chatting,86550,1187,100279590,10208360,194334
ID_TRANS_000105,2022-09-13,ESL_CSGO,English,Con Patrocinador,Experto,Multijugador en Línea,Acción,Disparos/FPS,Counter-Strike: Global Offensive,517965,9249,4764929775,126008641,4195657
ID_TRANS_000103,2022-09-13,bpblives,Portuguese,Sin Patrocinador,Avanzado,Variado,Variado,Variado,Unlisted on Twitch,930,8856,9494325,302103,74371
ID_TRANS_000102,2022-09-13,TheDigitalLink,English,Sin Patrocinador,Aficionado,Transmisión en Vivo,Variado,Variado,Just Chatting,439860,35,17111640,242132,7842
ID_TRANS_000101,2022-09-13,Noserino,German,Con Patrocinador,Novato,Multijugador en Línea,Acción,Disparos/FPS,Overwatch,139410,202,29604645,2228903,28552
ID_TRANS_000100,2022-09-13,BigNeo,French,Con Patrocinador,Novato,Multijugador en Línea,Acción,Disparos/FPS,Call Of Duty: Modern Warfare,130875,168,22079640,306516,30832
ID_TRANS_000104,2022-09-13,유튜브스팁 (ytsteveb),Korean,Sin Patrocinador,Aficionado,Multijugador en Línea,Acción,Disparos/FPS,VALORANT,27855,596,17883840,203637,6552
ID_TRANS_000115,2022-09-14,ESL_CSGO_FR,French,Con Patrocinador,Experto,Multijugador en Línea,Acción,Disparos/FPS,Counter-Strike: Global Offensive,70455,2448,156837975,4981756,199617
ID_TRANS_000117,2022-09-14,NGKShodaime,French,Con Patrocinador,Aficionado,Multijugador en Línea,Estrategia,MOBA,League of Legends,77115,111,9478815,168050,11040
ID_TRANS_000116,2022-09-14,Snoopyk70,Russian,Con Patrocinador,Aficionado,Multijugador en Línea,Acción,Disparos/FPS,VALORANT,82725,143,11744850,495532,19441
ID_TRANS_000118,2022-09-14,Global_Citizen,English,Con Patrocinador,Aficionado,Interactivo,Música,Música,Music,735,36565,18668025,6163470,8117
ID_TRANS_000114,2022-09-14,CaptainRichard,English,Con Patrocinador,Novato,Multijugador en Línea,Acción,Disparos/FPS,Star Citizen,61185,320,20341845,875108,30084
ID_TRANS_000111,2022-09-14,나락호프 (asdn6388),Korean,Con Patrocinador,Aficionado,"Un jugador, Multijugador en Línea",Variado,Variado,Retro,163095,85,17163585,416900,18512
ID_TRANS_000112,2022-09-14,Maximilian_DOOD,English,Con Patrocinador,Experto,Multijugador en Línea,Acción,Disparos/FPS,Call Of Duty: Modern Warfare,107985,9564,1040839515,15617768,852125
ID_TRANS_000110,2022-09-14,KheZu,English,Con Patrocinador,Avanzado,Multijugador en Línea,Estrategia,MOBA,Dota 2,134655,928,134687820,2698890,124634
ID_TRANS_000109,2022-09-14,RevedTV,German,Con Patrocinador,Experto,Transmisión en Vivo,Variado,Variado,Just Chatting,76215,1543,123732150,3870178,277097
ID_TRANS_000113,2022-09-14,MeeresTV,English,Con Patrocinador,Aficionado,Multijugador en Línea,RPG,MMORPG,World of Warcraft,56730,235,12025815,557006,23660
ID_TRANS_000119,2022-09-15,Tomorrowland,English,Con Patrocinador,Novato,Interactivo,Música,Música,Music,210600,274,24273720,5008757,29673
ID_TRANS_000120,2022-09-15,Willokhlass,French,Con Patrocinador,Experto,Transmisión en Vivo,Variado,Variado,Just Chatting,87510,332,30762045,3267943,207143
ID_TRANS_000121,2022-09-15,IlBertra,Italian,Con Patrocinador,Avanzado,Transmisión en Vivo,Variado,Variado,Just Chatting,39915,327,14804985,304276,68509
ID_TRANS_000122,2022-09-15,Nikolarn,English,Con Patrocinador,Experto,Multijugador en Línea,Acción,Disparos/FPS,VALORANT,121500,2721,319932180,5873637,508563
ID_TRANS_000123,2022-09-15,즐디 (zledihs),Korean,Con Patrocinador,Novato,Multijugador en Línea,Cartas,Juegos de Cartas,Hearthstone,109935,103,11309235,198179,28035
ID_TRANS_000130,2022-09-16,bang,Korean,Con Patrocinador,Experto,Multijugador en Línea,Estrategia,MOBA,League of Legends,13395,1255,17948790,978376,369847
ID_TRANS_000133,2022-09-16,S04TimLatka,German,Con Patrocinador,Avanzado,"Un jugador, Multijugador en Línea",Deporte,Deportes,FIFA 20,21600,934,20671410,319454,68131
ID_TRANS_000132,2022-09-16,Squillakilla,English,Con Patrocinador,Avanzado,Un jugador,RPG,RPG,Dark Souls III,87930,818,71629035,1351172,140871
ID_TRANS_000131,2022-09-16,swimstrim,English,Con Patrocinador,Avanzado,Multijugador en Línea,Cartas,Juegos de Cartas,Legends of Runeterra,106950,1605,181956135,5842318,145081
ID_TRANS_000129,2022-09-16,YuriJoa,English,Con Patrocinador,Avanzado,Transmisión en Vivo,Variado,Variado,Just Chatting,77025,799,57639150,3665369,84830
ID_TRANS_000126,2022-09-16,alexelcapo,Spanish,Con Patrocinador,Experto,"Un jugador, Multijugador en Línea",Aventura,Aventura/Sandbox,Minecraft,68355,6646,448325160,14229432,705599
ID_TRANS_000127,2022-09-16,purpgamingg,English,Sin Patrocinador,Aficionado,Multijugador en Línea,Acción,Battle Royale,Fortnite,52185,153,9406200,2312289,10571
ID_TRANS_000128,2022-09-16,ChrisRM22,English,Con Patrocinador,Aficionado,"Un jugador, Multijugador en Línea",Deporte,Deportes,FIFA 20,70740,116,9450105,148681,18246
ID_TRANS_000125,2022-09-16,jessutv,English,Con Patrocinador,Novato,Interactivo,Música,Música,Music,29175,570,22309830,590991,41706
ID_TRANS_000124,2022-09-16,Cliffy,English,Con Patrocinador,Novato,"Un jugador, Multijugador Local",Otros,Plataformas,Super Mario Maker 2,119670,143,18170265,354307,29811
ID_TRANS_000134,2022-09-17,Dekarldent,German,Con Patrocinador,Avanzado,Transmisión en Vivo,Variado,Variado,Just Chatting,71265,2015,144661185,1829085,67944
ID_TRANS_000135,2022-09-17,susu_jpg,English,Con Patrocinador,Avanzado,Transmisión en Vivo,Variado,Variado,Just Chatting,24690,397,9594780,447201,71998
ID_TRANS_000136,2022-09-17,Wingsofdeath,English,Con Patrocinador,Experto,Multijugador en Línea,Estrategia,MOBA,League of Legends,146055,1329,203470560,2437733,473372
ID_TRANS_000137,2022-09-17,단장002 (dxj002),Korean,Sin Patrocinador,Aficionado,Transmisión en Vivo,Variado,Variado,Just Chatting,50280,211,12478830,675342,21713
ID_TRANS_000138,2022-09-17,SmashFactorGaming,Spanish,Con Patrocinador,Aficionado,"Multijugador Local, en Línea",Otros,Lucha,Super Smash Bros. Ultimate,118395,155,19738605,4894677,15659
ID_TRANS_000139,2022-09-17,lol_Gosha,Russian,Sin Patrocinador,Aficionado,Multijugador en Línea,RPG,MMORPG,Lineage II: The Chaotic Throne - The 1st Throne: The Kamael,97485,111,11998575,554174,14297
ID_TRANS_000140,2022-09-17,13tvhd,English,Sin Patrocinador,Aficionado,Variado,Variado,Variado,Unlisted on Twitch,59295,447,25897740,1217964,569
ID_TRANS_000141,2022-09-17,golden_richardtv,English,Sin Patrocinador,Novato,Multijugador en Línea,Acción,Battle Royale,Fortnite,114135,657,70258590,59411,52396
ID_TRANS_000150,2022-09-18,dota2mc_ru3,Russian,Con Patrocinador,Novato,Multijugador en Línea,Estrategia,MOBA,Dota 2,11955,4476,56643525,4196970,57943
ID_TRANS_000149,2022-09-18,brlkgames,Portuguese,Sin Patrocinador,Novato,Transmisión en Vivo,Variado,Variado,Just Chatting,84570,72,9568770,426399,52974
ID_TRANS_000148,2022-09-18,cogu,Portuguese,Con Patrocinador,Experto,Multijugador en Línea,Acción,Disparos/FPS,Counter-Strike: Global Offensive,111345,745,89656560,3601467,165203
ID_TRANS_000147,2022-09-18,UMotivoMTG,Portuguese,Con Patrocinador,Aficionado,Multijugador en Línea,Cartas,Juegos de Cartas,Magic: The Gathering,56325,212,12517155,291892,22115
ID_TRANS_000142,2022-09-18,NerdEngenheiro,Portuguese,Con Patrocinador,Avanzado,Multijugador en Línea,Acción,Disparos/FPS,Tom Clancy,67965,281,19633380,461084,94114
ID_TRANS_000145,2022-09-18,JavifC,Spanish,Con Patrocinador,Aficionado,Multijugador en Línea,RPG,MMORPG,Black Desert Online,119835,94,12049830,289321,7980
ID_TRANS_000144,2022-09-18,thedragonfeeney,English,Con Patrocinador,Avanzado,"Un jugador, Multijugador Local",Otros,Plataformas,Super Mario Maker 2,103440,794,83205540,2291576,92244
ID_TRANS_000143,2022-09-18,simarchy,English,Con Patrocinador,Novato,"Un jugador, Multijugador Local, en Línea",Aventura,Aventura/Sandbox,Animal Crossing: New Horizons,97170,202,20894835,1205716,26113
