FECHA,NOMBRE_COMPLETO,IDIOMA,RANGO,TIEMPO_TRANSMISION,ESPECTADORES_PROMEDIO,TIEMPO_VISTA,VISTAS_GANADAS,SEGUIDORES,CATEGORIA_1
2022-10-03,Aplfisher,English,Avanzado,89955,198,18049755,321587,89534,Just Chatting
2022-10-03,imZANETTI,Portuguese,Aficionado,91200,111,10798740,881162,10866,Dead by Daylight
2022-10-04,CasalDeNerd,Portuguese,Avanzado,20325,587,12349875,281553,79564,Just Chatting
2022-10-04,IPantsTV,Italian,Avanzado,12600,1313,16691205,755023,99248,Just Chatting
2022-10-04,itzu_gaming,German,Novato,16950,622,11076195,205539,35570,Clash of Clans
2022-10-04,TheGuill84,French,Experto,53940,2103,117189135,2340429,152931,Minecraft
2022-10-04,Panduh,English,Avanzado,107640,616,71563095,1286692,79197,Destiny 2
2022-10-04,단장002 (dxj002),Korean,Aficionado,50280,211,12478830,675342,21713,Just Chatting
2022-10-04,Dukeofanukes,English,Novato,121335,107,15550755,181732,40777,Fortnite
2022-10-04,그롬헬스클럽 (pkrgrom),Korean,Aficionado,72795,125,9315120,238167,6054,Total War: Warhammer II
2022-10-04,Blizzard,English,Experto,120,193645,23237400,546837,374678,Special Events
2022-10-04,Vda_pedro,Portuguese,Aficionado,104190,133,15626145,710049,19556,Tibia
2022-10-04,PointCrow,English,Avanzado,61485,935,57823665,1050058,109815,The Legend of Zelda: Breath of the Wild
2022-10-05,DanGoms,Portuguese,Novato,81060,121,11145405,556693,31019,Fortnite
2022-10-05,Kerios,Spanish,Avanzado,74865,592,45497760,1365171,116442,League of Legends
2022-10-05,jesallieendeman,English,Aficionado,21795,319,11193780,1982,3416,Fortnite
2022-10-05,Thesterge,English,Novato,93735,321,31359990,893319,37996,World of Warcraft
2022-10-05,BTSBrasilFPS,Portuguese,Experto,107400,737,159846285,4530075,175942,Counter-Strike: Global Offensive
2022-10-05,Aipha,English,Novato,89625,63,9264825,233606,57331,Among Us
2022-10-06,Eversax,French,Aficionado,63720,236,15697680,277914,18398,Rocket League
2022-10-06,Redshell,English,Avanzado,135150,472,63899115,1134759,106820,Overwatch
2022-10-06,Walid,French,Experto,105570,2249,235312635,4644983,290845,Grand Theft Auto V
2022-10-06,satisfyingmusic,English,Aficionado,62550,260,17965605,1049219,3164,Just Chatting
2022-10-06,berg2,Portuguese,Novato,18990,475,9643530,316971,45337,League of Legends
2022-10-06,GrinningGoat,English,Novato,65745,215,15957840,171562,51245,Hearthstone
2022-10-06,FireDragon,English,Experto,150540,833,136157940,3531378,180551,Animal Crossing: New Horizons
2022-10-06,Selly55,Korean,Novato,68025,384,23086065,1161560,46740,Apex Legends
2022-10-07,Th3Antonio,Spanish,Experto,73410,2485,206978400,6201685,244320,League of Legends
2022-10-07,jpmmmv,Portuguese,Novato,20475,440,9232125,267951,38768,Grand Theft Auto V
2022-10-07,luxxbunny,English,Experto,76200,269,23135910,994274,173731,League of Legends
2022-10-07,Friskk,English,Novato,83265,154,12758595,961164,34429,Dead by Daylight
2022-10-07,lathyrustv,English,Aficionado,120330,116,15360720,537879,12742,League of Legends
2022-10-07,Melo,Spanish,Novato,19935,443,10084650,208546,34994,Animal Crossing: New Horizons
2022-10-07,TianKami,Russian,Experto,174780,304,55246980,4431170,159520,Legends of Runeterra
2022-10-07,iddqd,English,Experto,90795,1038,98734575,1900214,341977,Overwatch
2022-10-07,supertf,English,Experto,97110,2901,289720365,4272065,225423,Overwatch
2022-10-07,서새봄냥 (saddummy),Korean,Experto,184335,6380,1197287310,30650033,592032,Just Chatting
2022-10-07,sdrumox,Italian,Novato,10065,1230,13986255,377031,58897,Just Chatting
2022-10-08,WowChakra,Spanish,Novato,52485,573,31812525,6584141,29539,World of Warcraft
2022-10-08,RuneScape,English,Experto,5610,3359,18631650,653203,231281,RuneScape
2022-10-08,MYM_ALKAPONE,Spanish,Experto,105510,6645,716666445,9804347,810355,Just Chatting
2022-10-08,SINXPLAYSBR,Portuguese,Avanzado,97815,325,33579285,524289,83292,Just Chatting
2022-10-08,Zalae,English,Experto,95850,1185,118620150,1603049,170444,Hearthstone
2022-10-08,NebelNiek,German,Experto,75465,1066,79904190,2671407,195083,Just Chatting
2022-10-08,purpledjo,French,Avanzado,128160,107,14226270,209165,140847,Fortnite
2022-10-08,ESL,English,Experto,14895,983,11270805,967712,161564,StarCraft II
2022-10-08,lKennyKent,Spanish,Novato,63390,150,10732155,103732,27971,Gears 5
2022-10-09,CyberLiveArena1,English,Aficionado,286305,245,78473520,24318386,12223,FIFA 20
2022-10-09,여름이0908 (qufakwdywjd),Korean,Aficionado,160260,96,16784790,577026,14994,Just Chatting
2022-10-09,WisternJL,English,Aficionado,95130,130,13098300,330830,7997,Poker
2022-10-09,RelaxBeats,English,Experto,519570,227,118640445,1136744,176798,Music
2022-10-09,Tattti_,Spanish,Experto,4935,2017,9550920,459840,162724,Just Chatting
2022-10-09,Gona89,Spanish,Experto,41130,1069,46564320,1742260,203230,Minecraft
2022-10-09,RealMKTomBrady,English,Novato,74340,115,10065300,207175,40773,Mortal Kombat 11
2022-10-09,jenntacles,English,Novato,69720,409,38121540,589337,26381,Escape From Tarkov
2022-10-09,BatulinS,Russian,Novato,70365,257,18469620,1026709,49742,PLAYERUNKNOWN
